gene,n_cds_blocks,pct_cds_open_cardiomyocyte,pct_cds_open_bulk_heart,promoter_cardiomyocyte
TTN,365,3.29,33.97,OPEN
MYH7,38,2.63,92.11,OPEN
ACTC1,8,50.0,62.5,OPEN
TNNT2,19,21.05,73.68,OPEN
MYBPC3,34,2.94,82.35,OPEN
NPPA,3,0.0,66.67,OPEN
DES,16,12.5,100.0,OPEN
TPM1,19,21.05,57.89,OPEN
ACTN2,22,0.0,45.45,OPEN
RYR2,108,3.7,33.33,OPEN
PLN,1,100.0,100.0,OPEN
SCN5A,33,6.06,75.76,OPEN
MYL2,9,0.0,55.56,OPEN
MYL3,8,0.0,100.0,OPEN
CSRP3,6,16.67,16.67,OPEN
ATP2A2,24,8.33,41.67,OPEN
NEBL,38,7.89,31.58,OPEN
LDB3,16,0.0,87.5,closed
TCAP,2,100.0,100.0,OPEN
MYOZ2,8,0.0,12.5,OPEN
