gene,variants_with_functional_data,no_germline_classification,uncertain_significance,conflicting,carries_ACMG_code
BRCA1,3893,2017,428,381,293
KCNE1,1106,900,110,30,1106
JAG1,485,424,39,7,485
SCN5A,359,88,112,93,337
PSAT1,224,141,69,6,2
KCNQ2,84,7,12,12,13
FH,77,11,23,28,4
SCN2A,63,10,4,4,13
SCN1A,55,22,1,3,5
SLC26A4,54,1,5,2,13
LOC102724058,40,6,2,11,4
ALPL,37,0,6,12,37
SCN8A,33,9,0,2,5
COX10,25,0,15,6,0
ABCA4,25,0,1,1,9
TTN,24,0,0,12,0
TP53,20,2,1,2,5
KCNB1,20,1,1,1,1
SCN3A,18,5,3,1,1
BRCA2,17,0,0,4,3
CXCR4,17,0,0,0,0
MLH1,16,1,2,4,2
GATM,15,1,11,0,12
MSH6,14,0,1,5,0
MSH2,14,0,0,3,2
ATM,13,1,0,1,4
PIK3CD,13,0,13,0,0
DMD,11,0,0,4,4
CEP76,11,0,0,1,10
PMS2,10,0,1,4,2
TSC2,10,0,0,4,0
PALB2,10,0,0,4,1
LDLR,10,0,3,2,4
TYR,9,0,0,4,1
CDH1,9,0,1,3,6
CCM2,9,8,0,0,0
PDCD10,9,9,0,0,0
BIRC3,8,0,1,0,0
DYSF,8,0,0,0,5
PIK3R1,8,0,5,1,1
PTEN,8,0,0,0,0
ANO4,7,0,0,0,0
APC,7,1,0,1,1
RB1,7,1,0,1,0
LOC110121269,7,2,1,3,7
RYR2,7,0,0,0,0
ARSA,7,1,1,1,1
NF1,7,0,0,1,2
COL3A1,7,0,0,3,1
GAA,7,0,1,0,3
MYBPC3,6,0,0,0,1
BGN,6,0,1,2,0
TSC1,6,1,0,2,0
MET,6,2,1,0,0
KCNQ1,6,0,1,0,2
MYH11,6,0,0,3,0
PTCH1,6,0,0,5,0
POLE,6,0,0,2,0
PKP2,6,0,1,3,0
CFTR,6,0,0,3,3
SLC26A2,6,0,0,1,1
MUTYH,6,0,0,4,2
VPS13B,6,0,0,4,0
CLCN2,5,0,0,0,0
NAA10,5,0,1,2,1
SYK,5,0,1,1,0
DSP,5,1,0,3,1
GRIN1,5,1,0,0,0
RALGAPA1,5,0,0,0,0
SMARCA4,5,1,0,1,0
DCHS1,5,0,0,1,0
BARD1,5,0,0,3,0
SYNE1,5,0,0,1,0
BRIP1,5,0,1,1,0
ALMS1,5,0,0,0,0
KCNH2,5,0,0,1,1
COL2A1,5,0,0,1,1
LAMA2,5,0,1,2,0
OSMR,5,0,0,2,5
GALT,4,2,0,1,1
RINT1,4,0,0,2,0
SLC12A2,4,0,1,0,0
MPZ,4,0,0,1,1
OCA2,4,0,0,1,1
RYR1,4,0,0,2,2
