transcript_id,biotype,length_nt,productive,is_mane
ENST00000713730,nonsense_mediated_decay,8616,no,no
ENST00000333535,protein_coding,8528,yes,yes
ENST00001142647,protein_coding,8528,yes,no
ENST00001142648,protein_coding,8525,yes,no
ENST00000413689,protein_coding,8519,yes,no
ENST00000423572,protein_coding,8516,yes,no
ENST00000327956,protein_coding,8450,yes,no
ENST00000414099,protein_coding,8303,yes,no
ENST00000455624,protein_coding,8258,yes,no
ENST00000970295,protein_coding,8234,yes,no
ENST00000450102,protein_coding,8195,yes,no
ENST00000449557,protein_coding,5898,yes,no
ENST00000713731,nonsense_mediated_decay,2873,no,no
ENST00001109839,protein_coding,2605,yes,no
ENST00001111964,protein_coding,2458,yes,no
ENST00000491944,retained_intron,1382,no,no
ENST00000476683,retained_intron,774,no,no
ENST00000718273,retained_intron,687,no,no
ENST00001097220,protein_coding,616,yes,no
ENST00000718272,retained_intron,600,no,no
ENST00000464652,protein_coding_CDS_not_defined,591,no,no
